Task,Trial,Base,RL_TD3,RL_SAC,RL_PPO,Res_TD3,Res_SAC,Res_PPO
bus-table-hard-v1,19,0.25,0,0.25,0,0.75,0.75,0.75
bus-table-hard-v1,20,0,0.25,0,0.25,0.5,0.75,0.5
MP,,0.375,0.125,0.2,0.125,0.6125,0.7375,0.6125
Gen,,0.125,0.125,0.2,0.125,0.575,0.675,0.575
Transfer Gap,,,,,,0.45,0.55,0.45
,,,,,,,,
close-bottle-lid-v1,1,0.75,0.25,0.5,0,0.75,0.75,0.75
close-bottle-lid-v1,2,0.75,0,0.25,0.25,0.75,1,0.75
close-bottle-lid-v1,3,0.5,0.25,0,0,0.5,0.75,0.5
close-bottle-lid-v1,4,0.75,0,0.25,0.25,0.75,0.75,0.75
close-bottle-lid-v1,5,0.5,0.25,0.5,0.25,0.75,0.75,0.75
close-bottle-lid-v1,6,0.75,0,0.25,0,0.5,0.75,0.5
close-bottle-lid-v1,7,0.5,0.25,0,0.25,0.75,1,0.75
close-bottle-lid-v1,8,0.75,0,0.25,0,0.75,0.75,0.75
close-bottle-lid-v1,9,0.5,0.25,0.5,0.25,0.5,0.75,0.5
close-bottle-lid-v1,10,0.75,0,0.25,0,0.75,0.75,0.75
close-bottle-lid-v1,11,0.25,0.25,0,0.25,0.5,0.75,0.5
close-bottle-lid-v1,12,0.5,0,0.25,0,0.75,0.75,0.75
close-bottle-lid-v1,13,0.25,0.25,0.5,0.25,0.5,0.5,0.5
close-bottle-lid-v1,14,0,0,0,0,0.5,0.75,0.5
close-bottle-lid-v1,15,0.25,0.25,0.25,0.25,0.75,0.75,0.75
close-bottle-lid-v1,16,0.5,0,0.25,0,0.5,0.5,0.5
close-bottle-lid-v1,17,0.25,0.25,0,0.25,0.75,0.75,0.5
close-bottle-lid-v1,18,0,0,0.25,0,0.5,0.75,0.75
close-bottle-lid-v1,19,0.25,0.25,0.5,0,0.5,0.5,0.5
close-bottle-lid-v1,20,0,0,0,0.25,0.75,0.75,0.75
MP,,0.4375,0.125,0.2375,0.125,0.6375,0.7375,0.6375
Gen,,0.225,0.125,0.2,0.125,0.6,0.675,0.6
Transfer Gap,,,,,,0.375,0.45,0.375
,,,,,,,,
erase-whiteboard-v1,1,1,0.5,0.75,0.5,1,1,1
erase-whiteboard-v1,2,1,0.75,1,0.75,1,1,1
erase-whiteboard-v1,3,0.75,0.5,0.75,0.5,1,1,0.75
erase-whiteboard-v1,4,1,0.75,0.75,0.75,1,1,1
erase-whiteboard-v1,5,1,0.5,0.5,0.25,1,1,1
erase-whiteboard-v1,6,0.75,0.75,1,0.75,1,1,1
erase-whiteboard-v1,7,1,0.5,0.75,0.5,1,1,1
erase-whiteboard-v1,8,1,0.75,1,0.75,1,1,1
erase-whiteboard-v1,9,0.75,0.5,0.75,0.5,1,1,1
erase-whiteboard-v1,10,1,0.75,0.75,0.75,1,1,1
erase-whiteboard-v1,11,0.75,0.5,0.75,0.5,1,1,1
erase-whiteboard-v1,12,0.75,0.75,0.75,0.75,0.75,1,0.75
erase-whiteboard-v1,13,0.5,0.5,0.75,0.5,1,1,1
erase-whiteboard-v1,14,0.75,0.75,1,0.75,1,1,1
erase-whiteboard-v1,15,0.75,0.5,0.75,0.5,0.75,1,1
erase-whiteboard-v1,16,0.75,0.75,0.75,0.5,1,1,1
erase-whiteboard-v1,17,0.5,0.5,0.5,0.5,1,1,1
erase-whiteboard-v1,18,0.75,0.75,0.75,0.75,1,1,0.75
erase-whiteboard-v1,19,0.75,0.5,1,0.5,0.75,1,1
erase-whiteboard-v1,20,0.75,0.75,0.75,0.75,1,1,1
MP,,0.8125,0.625,0.7875,0.6,0.9625,1,0.9625
Gen,,0.7,0.625,0.775,0.6,0.925,1,0.95
Transfer Gap,,,,,,0.225,0.3,0.25
,,,,,,,,
close-french-press-v1,1,0.75,0,0.25,0,0.5,0.75,0.5
close-french-press-v1,2,0.5,0.25,0,0.25,0.75,0.75,0.75
close-french-press-v1,3,0.75,0,0.25,0,0.5,0.75,0.5
close-french-press-v1,4,0.5,0.25,0.5,0.25,0.75,1,0.75
close-french-press-v1,5,0.75,0,0,0,0.75,0.75,0.75
close-french-press-v1,6,0.5,0.25,0.25,0.25,0.5,0.75,0.5
close-french-press-v1,7,0.75,0,0.25,0,0.75,0.75,0.75
close-french-press-v1,8,0.5,0.25,0,0.25,0.5,0.75,0.5
close-french-press-v1,9,0.75,0,0.5,0,0.75,1,0.75
close-french-press-v1,10,0.5,0.25,0.25,0.25,0.75,0.75,0.75
close-french-press-v1,11,0.25,0,0,0,0.5,0.75,0.5
close-french-press-v1,12,0,0.25,0.25,0.25,0.75,0.75,0.75
close-french-press-v1,13,0.25,0,0.25,0,0.5,0.5,0.5
close-french-press-v1,14,0,0.25,0,0.25,0.5,0.75,0.5
close-french-press-v1,15,0.25,0,0.5,0.25,0.75,0.75,0.75
close-french-press-v1,16,0,0.25,0.25,0,0.5,0.5,0.5
close-french-press-v1,17,0.25,0,0,0.25,0.5,0.75,0.5
close-french-press-v1,18,0,0.25,0.25,0,0.75,0.75,0.75
close-french-press-v1,19,0.25,0,0.25,0.25,0.5,0.5,0.5
close-french-press-v1,20,0,0.25,0,0,0.75,0.75,0.75
MP,,0.375,0.125,0.2,0.125,0.625,0.7375,0.625
Gen,,0.125,0.125,0.175,0.125,0.6,0.675,0.6
Transfer Gap,,,,,,0.475,0.55,0.475
